fold,train_trade_count,train_wins,train_losses,train_win_rate,train_avg_winner_r,train_avg_loser_r,train_expectancy_r,train_median_r,train_profit_factor,train_total_r,train_avg_mfe_r,train_avg_mae_r,train_max_drawdown_r,train_ambiguous_count,test_trade_count,test_wins,test_losses,test_win_rate,test_avg_winner_r,test_avg_loser_r,test_expectancy_r,test_median_r,test_profit_factor,test_total_r,test_avg_mfe_r,test_avg_mae_r,test_max_drawdown_r,test_ambiguous_count,valid_trade_count,valid_wins,valid_losses,valid_win_rate,valid_avg_winner_r,valid_avg_loser_r,valid_expectancy_r,valid_median_r,valid_profit_factor,valid_total_r,valid_avg_mfe_r,valid_avg_mae_r,valid_max_drawdown_r,valid_ambiguous_count
1,4672,1218,3454,0.2607020547945205,1.9999999994759772,-1.0000000000099238,-0.21789383576038887,-0.9999999999999251,0.7052692528481661,-1018.0000006725368,0.9685689658720508,1.089909113740099,1023.0000005947967,10,4672,1253,3419,0.2681934931506849,2.000000001278007,-1.0000000004481315,-0.19541952053313774,-0.9999999999999352,0.7329628547757604,-912.9999999308195,0.9951207443722134,1.0620238795477794,930.9999994524841,10,,,,,,,,,,,,,,
2,9344,2471,6873,0.2644477739726027,2.0000000003897545,-1.000000000227912,-0.2066566781467633,-0.9999999999999304,0.7190455404971253,-1931.0000006033563,0.9818448551221322,1.075966496643939,1943.000000637176,20,4672,1292,3380,0.276541095890411,2.0000000025021967,-0.9999999994430284,-0.17037671123386086,-0.9999999999999295,0.7644970428023824,-795.999994884598,1.002724201985586,1.0980527984250894,828.9999949023376,6,,,,,,,,,,,,,,
3,14016,3763,10253,0.2684788812785388,2.0000000011150467,-0.9999999999691677,-0.1945633558424625,-0.9999999999999301,0.734029065095871,-2726.9999954879545,0.9888046374099501,1.0833285972376558,2729.9999954054333,26,4672,1225,3447,0.2622003424657534,1.9958668050587633,-0.9997978534395299,-0.2143335540687231,-0.9999999999998788,0.7094375316789121,-1001.3663646090743,0.9937743525840982,1.090953156176551,1005.2937840797016,13,,,,,,,,,,,,,,
train,9344,2471,6873,0.2644477739726027,2.0000000003897545,-1.000000000227912,-0.2066566781467633,-0.9999999999999304,0.7190455404971253,-1931.0000006033563,0.9818448551221322,1.075966496643939,1943.000000637176,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4672,1292,3380,0.276541095890411,2.0000000025021967,-0.9999999994430284,-0.17037671123386086,-0.9999999999999295,0.7644970428023824,-795.999994884598,1.002724201985586,1.0980527984250894,828.9999949023376,6
test,,,,,,,,,,,,,,,4673,1225,3448,0.2621442328268778,1.9958668050587633,-0.9995538579602614,-0.21432160625936153,-0.9999999999998785,0.7094049049211733,-1001.5248660499965,0.9937652009241259,1.0908800396310192,1005.2937840797016,13,,,,,,,,,,,,,,
