symbol,side,exit_reason,post_reached_original_tp,post_minutes_to_original_tp,post_max_favorable_pips_after,post_moved_original_direction,post_plus_0_5r,post_plus_1r,post_plus_2r,post_5m_pips,post_15m_pips,post_30m_pips,post_60m_pips
EUR_USD,BUY,sl,True,335.0,370.4,True,True,True,True,-15.3,-13.3,-8.7,-9.9
EUR_USD,SELL,sl,True,1730.0,368.2,True,True,True,True,-9.6,-13.1,-10.0,0.1
EUR_USD,SELL,sl,True,1590.0,376.8,True,True,True,True,-15.0,-11.5,-4.9,-2.0
EUR_USD,SELL,sl,True,1270.0,372.4,True,True,True,True,-11.7,-4.5,-2.7,-24.6
EUR_USD,BUY,sl,True,1450.0,373.4,True,True,True,True,-9.1,-1.9,4.5,11.1
EUR_USD,SELL,sl,True,1375.0,375.0,True,True,True,True,-15.6,-20.8,-21.2,-16.2
EUR_USD,BUY,sl,True,6810.0,360.5,True,True,True,True,-17.0,-12.8,-17.6,-18.2
EUR_USD,BUY,sl,True,1065.0,376.5,True,True,True,True,-9.2,-12.0,-8.3,-10.0
EUR_USD,SELL,sl,True,620.0,370.4,True,True,True,True,-5.6,-2.2,-1.0,0.7
EUR_USD,SELL,sl,True,455.0,373.0,True,True,True,True,-4.2,-5.1,-5.6,-6.4
EUR_USD,SELL,sl,True,120.0,375.7,True,True,True,True,-2.1,-2.8,-3.7,-2.3
EUR_USD,SELL,sl,True,270.0,373.0,True,True,True,True,-2.9,-2.4,0.2,2.2
EUR_USD,SELL,sl,True,20460.0,353.5,True,True,True,True,-37.7,-27.2,-37.1,-46.9
EUR_USD,SELL,sl,True,20220.0,390.2,True,True,True,True,-23.4,-5.2,-11.9,-24.4
EUR_USD,BUY,sl,True,5890.0,338.0,True,True,True,True,-22.9,-21.3,-19.7,-19.3
EUR_USD,SELL,sl,True,245.0,398.2,True,True,True,True,-4.1,-3.1,-3.6,-9.2
EUR_USD,SELL,sl,True,195.0,400.1,True,True,True,True,-5.7,-7.3,-1.9,-3.3
EUR_USD,SELL,sl,True,120.0,403.6,True,True,True,True,-6.2,-16.6,-17.4,-11.2
EUR_USD,BUY,sl,True,4490.0,338.9,True,True,True,True,-6.3,-4.8,-4.6,-14.2
EUR_USD,BUY,sl,True,4430.0,342.7,True,True,True,True,-12.6,-8.3,-19.3,-22.5
EUR_USD,BUY,sl,True,4255.0,354.3,True,True,True,True,-12.4,-11.4,-10.9,-12.4
EUR_USD,SELL,sl,True,18720.0,379.4,True,True,True,True,-8.3,-8.9,-8.6,-8.6
EUR_USD,SELL,sl,True,18645.0,386.7,True,True,True,True,-7.9,-8.6,-12.7,-15.3
EUR_USD,SELL,sl,True,18480.0,393.6,True,True,True,True,-9.7,-11.7,-18.3,-18.2
EUR_USD,SELL,sl,True,18435.0,404.3,True,True,True,True,-6.3,-6.7,-7.5,-5.9
EUR_USD,BUY,sl,True,3660.0,346.9,True,True,True,True,-6.1,-6.2,-3.1,-5.2
EUR_USD,BUY,sl,True,525.0,349.7,True,True,True,True,-5.0,-3.4,-6.1,-7.0
EUR_USD,BUY,sl,True,490.0,352.1,True,True,True,True,-4.0,-4.6,-4.2,-7.3
EUR_USD,SELL,sl,True,335.0,398.8,True,True,True,True,-3.0,-2.2,-3.8,-4.2
EUR_USD,SELL,sl,True,15060.0,399.2,True,True,True,True,-4.6,-4.0,-3.0,-2.1
EUR_USD,SELL,sl,True,185.0,401.6,True,True,True,True,-4.2,-5.8,-5.1,-8.0
EUR_USD,SELL,sl,True,145.0,404.8,True,True,True,True,-1.9,-3.6,-5.8,-3.0
EUR_USD,SELL,sl,True,130.0,405.7,True,True,True,True,-2.2,-4.9,-0.9,-3.2
EUR_USD,BUY,sl,True,185.0,346.9,True,True,True,True,-5.0,-4.8,-2.4,-6.6
EUR_USD,BUY,sl,True,145.0,347.9,True,True,True,True,-3.8,-4.8,-6.0,-7.0
EUR_USD,BUY,sl,True,115.0,350.7,True,True,True,True,-3.7,-3.8,-4.2,-12.5
EUR_USD,BUY,sl,True,55.0,355.7,True,True,True,True,-7.0,-9.1,-3.5,10.1
EUR_USD,BUY,sl,True,30.0,361.7,True,True,True,True,-1.5,2.5,7.3,21.1
EUR_USD,SELL,sl,True,14745.0,394.3,True,True,True,True,-6.3,-9.8,-18.6,-12.9
EUR_USD,SELL,sl,True,14730.0,399.6,True,True,True,True,-8.4,-13.3,-18.3,-10.0
EUR_USD,SELL,sl,True,14720.0,407.0,True,True,True,True,-5.9,-5.4,-4.4,-3.2
EUR_USD,SELL,sl,True,9685.0,411.9,True,True,True,True,-6.5,4.7,2.3,-1.5
EUR_USD,BUY,sl,True,105.0,346.1,True,True,True,True,-3.8,-2.8,2.2,-2.0
EUR_USD,BUY,sl,True,810.0,318.5,True,True,True,True,-9.2,-12.9,-8.6,-5.0
EUR_USD,BUY,sl,True,840.0,310.7,True,True,True,True,-9.4,-10.8,-11.8,-12.7
EUR_USD,BUY,sl,True,635.0,319.1,True,True,True,True,-5.6,-4.3,-0.8,7.1
EUR_USD,BUY,sl,True,40.0,294.7,True,True,True,True,-1.0,2.4,7.8,9.4
EUR_USD,BUY,sl,True,240.0,265.1,True,True,True,True,-12.6,-7.3,-10.0,-14.4
EUR_USD,BUY,sl,True,60.0,276.7,True,True,True,True,-4.5,-0.6,2.0,14.3
EUR_USD,BUY,sl,True,70.0,256.7,True,True,True,True,-1.6,5.0,15.1,21.3
EUR_USD,BUY,sl,True,1350.0,212.3,True,True,True,True,-11.1,-9.2,-11.7,-5.0
EUR_USD,BUY,sl,True,1015.0,220.5,True,True,True,True,-4.6,-5.2,-8.2,-7.1
EUR_USD,SELL,sl,True,605.0,517.8,True,True,True,True,-8.5,-5.2,-4.7,-3.9
EUR_USD,SELL,sl,True,490.0,511.8,True,True,True,True,-5.3,0.2,-4.0,-6.8
EUR_USD,SELL,sl,True,430.0,512.6,True,True,True,True,-4.5,-2.0,1.0,-2.2
