feature,condition,sample_size,expectancy_r,profit_factor,win_rate,total_r
htf_alignment,strongly_supports,6123,-0.16473617019018413,0.7716526294472887,0.2784582720888453,-1008.6795700744975
htf_alignment,weakly_supports,620,-0.06336489317698973,0.9077787937257827,0.31290322580645163,-39.286233769733634
htf_alignment,conflicts,11946,-0.22438967501203078,0.6973225969247585,0.2585802779172945,-2680.5590576937198
ma_separation,strongly_supports,16559,-0.20668668765982703,0.7189459556550216,0.2645087263723655,-3422.524860959076
ma_separation,weakly_supports,2130,-0.14366197210275827,0.7989487513678363,0.28544600938967135,-306.00000057887513
ma_separation,conflicts,0,,,,0.0
rsi,strongly_supports,2118,-0.21529744926639033,0.7084398990552117,0.2615675165250236,-455.99999754621473
rsi,weakly_supports,11641,-0.19227202424515072,0.7368159548348111,0.2693067605875784,-2238.2386342377995
rsi,conflicts,4930,-0.20979436709004798,0.715151134362247,0.26348884381338744,-1034.2862297539366
