client_order_id,symbol,side,units,status,created_at,filled_at,fill_price,broker_order_id,filled_units,metadata
cid-451ccd40e74347358c5b306acab8fc13,USD_JPY,BUY,2,FILLED,2026-09-21 14:33:52.432552+00,2026-09-21 14:33:52.553607+00,157.336,2301,2,"{""mid"": 157.368, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 157.368, ""slippage_signed"": -0.031999999999982265}"
cid-14c4ecbc1c6b4d6dbaf51d89f3cbf4ba,USD_JPY,BUY,2,FILLED,2026-09-21 14:59:17.320193+00,2026-09-21 14:59:17.438327+00,157.465,2309,2,"{""mid"": 157.486, ""strategy"": ""trend"", ""expected_mid"": 157.486, ""slippage_signed"": -0.020999999999986585}"
cid-771eaed9548346a48a61e63b6cb6b4c9,USD_CAD,BUY,2,FILLED,2026-09-21 16:11:27.417434+00,2026-09-21 16:11:27.539375+00,1.40249,2317,2,"{""mid"": 1.40243, ""strategy"": ""mean_reversion"", ""expected_mid"": 1.40243, ""slippage_signed"": 0.00005999999999994898}"
cid-4601477a0b9249ff9cdf56699a2c3d4b,USD_CHF,SELL,2,FILLED,2026-09-21 16:11:27.684646+00,2026-09-21 16:11:27.809794+00,0.82125,2321,2,"{""mid"": 0.82132, ""strategy"": ""mean_reversion"", ""expected_mid"": 0.82132, ""slippage_signed"": 0.0000700000000000145}"
cid-f319432088a2419387051431ffb82245,EUR_USD,SELL,2,FILLED,2026-09-21 18:31:44.38737+00,2026-09-21 18:31:44.513382+00,1.14637,2329,2,"{""mid"": 1.14658, ""strategy"": ""swing_trend"", ""expected_mid"": 1.14658, ""slippage_signed"": 0.00021000000000004349}"
cid-bdf92a9011a94b10a85379b8dc1b6ced,AUD_USD,SELL,3,FILLED,2026-09-21 18:41:54.632947+00,2026-09-21 18:41:54.751318+00,0.71191,2337,3,"{""mid"": 0.71198, ""strategy"": ""swing_trend"", ""expected_mid"": 0.71198, ""slippage_signed"": 0.00006999999999990347}"
cid-46543c09bec04bb89b892e914b911f34,AUD_USD,SELL,3,FILLED,2026-09-21 18:56:08.547404+00,2026-09-21 18:56:08.666122+00,0.71213,2343,3,"{""mid"": 0.71218, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71218, ""slippage_signed"": 0.00004999999999999449}"
cid-db3aefa08be141d6ab9d197177d3df99,USD_CAD,BUY,2,FILLED,2026-09-21 19:38:50.97292+00,2026-09-21 19:38:51.112504+00,1.40337,2351,2,"{""mid"": 1.40351, ""strategy"": ""swing_mean_reversion"", ""expected_mid"": 1.40351, ""slippage_signed"": -0.000140000000000029}"
cid-ab48d116484847839daa09daf6c28c74,EUR_USD,SELL,2,FILLED,2026-09-21 19:40:52.569523+00,2026-09-21 19:40:52.690643+00,1.14686,2357,2,"{""mid"": 1.14691, ""strategy"": ""swing_breakout"", ""expected_mid"": 1.14691, ""slippage_signed"": 0.000050000000000105516}"
cid-3d089330deab461b9327af2da9521958,AUD_USD,SELL,3,FILLED,2026-09-21 19:40:53.079908+00,2026-09-21 19:40:53.203788+00,0.71224,2361,3,"{""mid"": 0.71231, ""strategy"": ""swing_breakout"", ""expected_mid"": 0.71231, ""slippage_signed"": 0.0000700000000000145}"
