trade_count,wins,losses,win_rate,avg_winner_r,avg_loser_r,expectancy_r,median_r,profit_factor,total_r,avg_mfe_r,avg_mae_r,max_drawdown_r,ambiguous_count,group,sample_size
4837,1230,3607,0.2542898490800083,2.000000001391963,-1.0000000004443388,-0.23713045273736108,-0.9999999999998656,0.6820072083778878,-1146.9999998906155,0.933204040525715,1.0989016923936898,1151.9999997189248,5,asia,4837
2426,633,1793,0.26092333058532563,1.995727728645191,-0.999142053659972,-0.2177106553915597,-0.9999999999999466,0.7051759190120136,-528.1660499799239,0.9936334652066174,1.0662457019084155,533.1660500186224,9,late_new_york,2426
5292,1424,3868,0.2690854119425548,2.000000000905656,-0.9999999994992435,-0.19274376356262662,-0.999999999999906,0.736297829037179,-1019.9999967734201,0.9856906096944802,1.0824952914091264,1040.9999967252613,4,london,5292
4872,1394,3478,0.2861247947454844,1.9983078803787924,-1.0000000004038374,-0.14210977343113923,-0.999999999999944,0.8009319103286631,-692.3588161565103,1.0622691186097744,1.0654046138892554,707.0725817950935,19,london_ny_overlap,4872
1262,307,955,0.2432646592709984,1.9999999997091065,-0.9999999985844781,-0.27020602118659337,-0.9999999999998928,0.6429319379893468,-340.99999873748084,0.9404421544153359,1.1571316356062562,340.99999873748067,2,rollover_low_liquidity,1262
