trade_count,wins,losses,win_rate,avg_winner_r,avg_loser_r,expectancy_r,median_r,profit_factor,total_r,avg_mfe_r,avg_mae_r,max_drawdown_r,ambiguous_count,group,sample_size
6523,1845,4678,0.2828453165721294,1.9972557374630615,-0.9998510489637976,-0.1521334311564152,-0.9999999999999462,0.7878336452644416,-992.3663714332963,1.034722418807822,1.0453628962109718,1019.080136995881,9,HIGH_VOLATILITY,6523
1352,276,1076,0.20414201183431951,2.0000000090385788,-1.0000000012663013,-0.3875739636596837,-0.9999999999998714,0.5130111540851761,-523.9999988678924,0.8315017396829013,1.1852591300142024,524.9999985939817,3,LOW_VOLATILITY,1352
2729,721,2008,0.2641993404177354,1.9999999994466002,-0.9999999990268318,-0.2074019781769438,-0.9999999999999051,0.7181274905399937,-565.9999984448797,0.9929147291098229,1.0855591851786512,572.9999985395399,4,RANGING,2729
2588,689,1899,0.26622874806800617,2.0000000009375354,-1.0000000002864067,-0.20131375575653954,-0.9999999999999045,0.7256450764883062,-520.9999998979243,0.9687306694229002,1.0760448406977072,526.9999996441559,6,TRENDING_DOWN,2588
2632,706,1926,0.2682370820668693,2.000000000216746,-0.9995630824203507,-0.19496903365827234,-0.9999999999998872,0.733446104589771,-513.1584965885728,0.9904638439880334,1.1165501296948817,513.1584965885722,9,TRENDING_UP,2632
2865,751,2114,0.26212914485165795,2.0000000025018987,-0.9999999991411122,-0.21361256415545732,-0.9999999999999022,0.710501420609733,-611.9999963053853,0.9792760161737938,1.1079192051937992,614.9999965885761,8,UNCERTAIN,2865
