trade_count,wins,losses,win_rate,avg_winner_r,avg_loser_r,expectancy_r,median_r,profit_factor,total_r,avg_mfe_r,avg_mae_r,max_drawdown_r,ambiguous_count,group,sample_size
1703,469,1234,0.275396359365825,1.9971684933363079,-1.000000000016929,-0.17459070854149258,-0.9999999999999684,0.7590535035323108,-297.32797664616186,1.0189681205211427,1.0330026317488914,304.32797662526997,2,mean_reversion,1703
1824,545,1279,0.2987938596491228,1.9956718987063353,-0.9994552022371594,-0.10452961560656479,-0.9999999999999611,0.8508475780078792,-190.66201886637418,1.0532411487393687,1.023901664629485,194.37578434343166,2,scalp,1824
4330,1116,3214,0.2577367205542725,2.0000000009492913,-0.9999999995468871,-0.22678983775618625,-0.9999999999998285,0.6944617305758423,-981.9999974842865,0.9701580118092022,1.0941948375023385,992.9999978458864,11,swing_breakout,4330
4527,1175,3352,0.25955378838082616,2.000000003066882,-1.000000000158517,-0.22133863417887398,-0.9999999999997583,0.7010739866441145,-1001.9999969277625,0.9759012025341667,1.1150231179949337,1008.9999969467489,10,swing_mean_reversion,4527
4580,1187,3393,0.2591703056768559,1.999999999983217,-0.9999999993317622,-0.22248908247873161,-0.9999999999998175,0.6996758035857574,-1018.9999977525908,0.9638814077244593,1.1047090510109352,1020.9999983485872,11,swing_trend,4580
1725,496,1229,0.28753623188405797,1.9972250556051436,-0.9993152981618602,-0.13770137615117384,-0.9999999999999686,0.8065926559299235,-237.53487386077487,1.0511711506806634,1.0490870555060419,270.5348738607749,3,trend,1725
