time,symbol,split,stub_side,usd_dir,stub_strength,p_up,orig_60,inv_60,up_60,down_60
2025-09-01 02:00:00+00:00,USD_JPY,train,BUY,LONG_USD,0.683301343570392,0.41053171240310665,-34.99999999999943,31.89999999999884,False,True
2025-09-01 02:05:00+00:00,USD_JPY,train,SELL,SHORT_USD,0.022857142856783814,0.41037160924870736,23.60000000000184,-26.599999999999113,False,True
2025-09-01 04:05:00+00:00,GBP_USD,train,BUY,SHORT_USD,1.7659777424485332,0.4079991674320489,-2.4000000000001798,-1.100000000000545,False,False
2025-09-01 04:05:00+00:00,AUD_USD,train,BUY,SHORT_USD,0.6649350649353998,0.41171475218137343,-2.7999999999994696,0.10000000000065512,False,True
2025-09-01 04:20:00+00:00,EUR_USD,train,BUY,SHORT_USD,2.3024208566112216,0.4074800903272897,3.2999999999994145,-6.200000000000649,True,False
2025-09-01 04:25:00+00:00,USD_CHF,train,SELL,SHORT_USD,3.5151862464177412,0.39729320290311576,0.0999999999995449,-3.0999999999992145,False,True
2025-09-01 04:30:00+00:00,USD_CAD,train,SELL,SHORT_USD,0.3217877094976843,0.39117634211764846,1.9999999999997797,-5.800000000000249,False,True
2025-09-01 04:30:00+00:00,USD_JPY,train,BUY,LONG_USD,0.0957871396891048,0.40939098326462164,-8.899999999999864,5.49999999999784,False,True
2025-09-01 05:10:00+00:00,AUD_USD,train,SELL,LONG_USD,0.014207650273631314,0.4030651630312111,0.9999999999998899,-3.5999999999991594,False,True
2025-09-01 05:25:00+00:00,AUD_USD,train,BUY,SHORT_USD,0.14696132596738473,0.4060216839593733,-5.1000000000001044,2.3999999999990695,False,True
2025-09-01 05:35:00+00:00,USD_CAD,train,SELL,SHORT_USD,0.3210884353712322,0.38708982766606326,-9.700000000001374,5.999999999999339,True,False
2025-09-01 05:40:00+00:00,USD_JPY,train,SELL,SHORT_USD,0.06105919003104959,0.4070978111342692,12.800000000001432,-15.700000000001069,False,True
2025-09-01 06:05:00+00:00,AUD_USD,train,SELL,LONG_USD,0.36833773087074084,0.4084231352767042,4.300000000000415,-6.800000000000139,False,True
2025-09-01 06:05:00+00:00,USD_CAD,train,BUY,LONG_USD,0.1294117647069972,0.4013747202764187,7.200000000000539,-10.80000000000192,True,False
2025-09-01 07:05:00+00:00,USD_JPY,train,BUY,LONG_USD,0.33275563258205687,0.4209535594717725,10.599999999999454,-13.60000000000241,True,False
