time,open,high,low,close,volume,complete,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-09-01T00:00:00Z,1.37392000,1.37394000,1.37371000,1.37376000,241,True,1.37383000,1.37384000,1.37361000,1.37366000,1.37401000,1.37405000,1.37381000,1.37385000
2025-09-01T00:05:00Z,1.37376000,1.37382000,1.37366000,1.37374000,251,True,1.37368000,1.37373000,1.37356000,1.37364000,1.37384000,1.37392000,1.37375000,1.37383000
2025-09-01T00:10:00Z,1.37369000,1.37374000,1.37360000,1.37370000,270,True,1.37360000,1.37366000,1.37350000,1.37361000,1.37378000,1.37384000,1.37370000,1.37380000
2025-09-01T00:15:00Z,1.37370000,1.37372000,1.37357000,1.37365000,256,True,1.37360000,1.37363000,1.37347000,1.37356000,1.37380000,1.37381000,1.37367000,1.37374000
2025-09-01T00:20:00Z,1.37366000,1.37382000,1.37365000,1.37378000,137,True,1.37356000,1.37374000,1.37356000,1.37368000,1.37375000,1.37390000,1.37374000,1.37388000
2025-09-01T00:25:00Z,1.37378000,1.37391000,1.37378000,1.37382000,155,True,1.37368000,1.37381000,1.37368000,1.37373000,1.37387000,1.37401000,1.37387000,1.37392000
2025-09-01T00:30:00Z,1.37382000,1.37382000,1.37364000,1.37366000,237,True,1.37373000,1.37373000,1.37354000,1.37355000,1.37391000,1.37392000,1.37373000,1.37376000
2025-09-01T00:35:00Z,1.37365000,1.37370000,1.37354000,1.37358000,203,True,1.37355000,1.37359000,1.37345000,1.37348000,1.37375000,1.37380000,1.37363000,1.37367000
2025-09-01T00:40:00Z,1.37358000,1.37362000,1.37353000,1.37356000,174,True,1.37348000,1.37353000,1.37343000,1.37346000,1.37369000,1.37373000,1.37362000,1.37365000
2025-09-01T00:45:00Z,1.37354000,1.37357000,1.37350000,1.37350000,248,True,1.37345000,1.37348000,1.37340000,1.37340000,1.37363000,1.37367000,1.37360000,1.37360000
2025-09-01T00:50:00Z,1.37350000,1.37364000,1.37350000,1.37358000,288,True,1.37341000,1.37354000,1.37340000,1.37348000,1.37360000,1.37374000,1.37360000,1.37368000
2025-09-01T00:55:00Z,1.37358000,1.37372000,1.37356000,1.37362000,172,True,1.37349000,1.37362000,1.37346000,1.37353000,1.37368000,1.37382000,1.37367000,1.37372000
2025-09-01T01:00:00Z,1.37362000,1.37372000,1.37356000,1.37358000,234,True,1.37353000,1.37363000,1.37346000,1.37348000,1.37371000,1.37381000,1.37364000,1.37368000
2025-09-01T01:05:00Z,1.37360000,1.37390000,1.37358000,1.37388000,190,True,1.37351000,1.37381000,1.37348000,1.37379000,1.37370000,1.37400000,1.37368000,1.37397000
2025-09-01T01:10:00Z,1.37389000,1.37410000,1.37388000,1.37398000,287,True,1.37379000,1.37400000,1.37378000,1.37388000,1.37399000,1.37420000,1.37397000,1.37407000
2025-09-01T01:15:00Z,1.37398000,1.37426000,1.37395000,1.37409000,423,True,1.37389000,1.37417000,1.37385000,1.37399000,1.37407000,1.37435000,1.37405000,1.37419000
2025-09-01T01:20:00Z,1.37411000,1.37436000,1.37411000,1.37430000,292,True,1.37400000,1.37425000,1.37400000,1.37420000,1.37422000,1.37446000,1.37422000,1.37439000
2025-09-01T01:25:00Z,1.37429000,1.37434000,1.37421000,1.37426000,263,True,1.37420000,1.37423000,1.37411000,1.37416000,1.37438000,1.37444000,1.37430000,1.37435000
2025-09-01T01:30:00Z,1.37426000,1.37448000,1.37426000,1.37434000,420,True,1.37415000,1.37438000,1.37415000,1.37425000,1.37436000,1.37458000,1.37436000,1.37444000
2025-09-01T01:35:00Z,1.37434000,1.37452000,1.37430000,1.37432000,408,True,1.37425000,1.37442000,1.37419000,1.37423000,1.37443000,1.37462000,1.37439000,1.37441000
2025-09-01T01:40:00Z,1.37434000,1.37436000,1.37414000,1.37421000,211,True,1.37426000,1.37427000,1.37405000,1.37411000,1.37441000,1.37445000,1.37423000,1.37431000
2025-09-01T01:45:00Z,1.37422000,1.37429000,1.37400000,1.37403000,396,True,1.37411000,1.37418000,1.37390000,1.37393000,1.37432000,1.37440000,1.37409000,1.37413000
2025-09-01T01:50:00Z,1.37402000,1.37420000,1.37390000,1.37418000,504,True,1.37392000,1.37411000,1.37380000,1.37409000,1.37413000,1.37429000,1.37401000,1.37428000
2025-09-01T01:55:00Z,1.37418000,1.37424000,1.37398000,1.37399000,409,True,1.37408000,1.37415000,1.37388000,1.37388000,1.37428000,1.37433000,1.37408000,1.37410000
2025-09-01T02:00:00Z,1.37400000,1.37400000,1.37382000,1.37388000,351,True,1.37389000,1.37390000,1.37373000,1.37379000,1.37410000,1.37411000,1.37390000,1.37397000
2025-09-01T02:05:00Z,1.37388000,1.37394000,1.37356000,1.37360000,476,True,1.37378000,1.37385000,1.37346000,1.37349000,1.37397000,1.37403000,1.37367000,1.37370000
2025-09-01T02:10:00Z,1.37362000,1.37390000,1.37362000,1.37386000,461,True,1.37352000,1.37380000,1.37351000,1.37377000,1.37372000,1.37400000,1.37372000,1.37396000
2025-09-01T02:15:00Z,1.37386000,1.37395000,1.37384000,1.37388000,364,True,1.37377000,1.37386000,1.37374000,1.37378000,1.37395000,1.37405000,1.37394000,1.37399000
2025-09-01T02:20:00Z,1.37389000,1.37414000,1.37380000,1.37390000,462,True,1.37379000,1.37405000,1.37370000,1.37380000,1.37399000,1.37425000,1.37389000,1.37400000
2025-09-01T02:25:00Z,1.37388000,1.37391000,1.37370000,1.37372000,386,True,1.37379000,1.37382000,1.37360000,1.37363000,1.37398000,1.37400000,1.37378000,1.37381000
2025-09-01T02:30:00Z,1.37370000,1.37373000,1.37356000,1.37358000,503,True,1.37361000,1.37364000,1.37346000,1.37348000,1.37379000,1.37383000,1.37367000,1.37368000
2025-09-01T02:35:00Z,1.37358000,1.37366000,1.37338000,1.37353000,440,True,1.37349000,1.37356000,1.37330000,1.37344000,1.37367000,1.37376000,1.37346000,1.37362000
2025-09-01T02:40:00Z,1.37354000,1.37356000,1.37336000,1.37353000,326,True,1.37345000,1.37346000,1.37326000,1.37343000,1.37362000,1.37366000,1.37346000,1.37363000
2025-09-01T02:45:00Z,1.37351000,1.37382000,1.37350000,1.37377000,403,True,1.37342000,1.37374000,1.37340000,1.37368000,1.37360000,1.37391000,1.37359000,1.37386000
2025-09-01T02:50:00Z,1.37378000,1.37381000,1.37352000,1.37355000,364,True,1.37369000,1.37372000,1.37342000,1.37347000,1.37386000,1.37390000,1.37360000,1.37363000
2025-09-01T02:55:00Z,1.37356000,1.37356000,1.37328000,1.37336000,381,True,1.37348000,1.37348000,1.37318000,1.37327000,1.37363000,1.37363000,1.37338000,1.37346000
2025-09-01T03:00:00Z,1.37337000,1.37352000,1.37330000,1.37348000,375,True,1.37328000,1.37341000,1.37320000,1.37339000,1.37346000,1.37362000,1.37340000,1.37358000
2025-09-01T03:05:00Z,1.37348000,1.37368000,1.37348000,1.37364000,299,True,1.37337000,1.37359000,1.37337000,1.37354000,1.37358000,1.37378000,1.37357000,1.37374000
2025-09-01T03:10:00Z,1.37364000,1.37369000,1.37345000,1.37345000,209,True,1.37354000,1.37359000,1.37336000,1.37336000,1.37375000,1.37379000,1.37354000,1.37354000
2025-09-01T03:15:00Z,1.37346000,1.37366000,1.37341000,1.37364000,171,True,1.37338000,1.37355000,1.37332000,1.37354000,1.37354000,1.37376000,1.37350000,1.37375000
2025-09-01T03:20:00Z,1.37364000,1.37366000,1.37346000,1.37360000,219,True,1.37354000,1.37355000,1.37337000,1.37350000,1.37373000,1.37376000,1.37356000,1.37371000
2025-09-01T03:25:00Z,1.37362000,1.37380000,1.37360000,1.37372000,181,True,1.37352000,1.37370000,1.37350000,1.37361000,1.37371000,1.37391000,1.37370000,1.37383000
2025-09-01T03:30:00Z,1.37374000,1.37376000,1.37360000,1.37367000,288,True,1.37364000,1.37365000,1.37350000,1.37357000,1.37385000,1.37387000,1.37370000,1.37377000
2025-09-01T03:35:00Z,1.37368000,1.37376000,1.37360000,1.37364000,229,True,1.37358000,1.37365000,1.37350000,1.37354000,1.37379000,1.37386000,1.37370000,1.37373000
2025-09-01T03:40:00Z,1.37364000,1.37374000,1.37363000,1.37368000,160,True,1.37354000,1.37364000,1.37354000,1.37358000,1.37374000,1.37383000,1.37372000,1.37378000
2025-09-01T03:45:00Z,1.37368000,1.37378000,1.37359000,1.37368000,196,True,1.37358000,1.37368000,1.37350000,1.37358000,1.37377000,1.37388000,1.37368000,1.37378000
2025-09-01T03:50:00Z,1.37368000,1.37380000,1.37365000,1.37376000,196,True,1.37358000,1.37371000,1.37355000,1.37368000,1.37377000,1.37390000,1.37375000,1.37385000
2025-09-01T03:55:00Z,1.37376000,1.37378000,1.37356000,1.37358000,321,True,1.37368000,1.37369000,1.37347000,1.37349000,1.37384000,1.37387000,1.37366000,1.37367000
2025-09-01T04:00:00Z,1.37360000,1.37366000,1.37356000,1.37362000,232,True,1.37350000,1.37357000,1.37347000,1.37353000,1.37369000,1.37376000,1.37365000,1.37371000
2025-09-01T04:05:00Z,1.37362000,1.37376000,1.37360000,1.37365000,169,True,1.37353000,1.37365000,1.37350000,1.37356000,1.37372000,1.37386000,1.37368000,1.37374000
2025-09-01T04:10:00Z,1.37366000,1.37372000,1.37360000,1.37369000,176,True,1.37356000,1.37361000,1.37352000,1.37359000,1.37375000,1.37382000,1.37369000,1.37379000
2025-09-01T04:15:00Z,1.37368000,1.37371000,1.37363000,1.37366000,144,True,1.37359000,1.37362000,1.37355000,1.37357000,1.37378000,1.37381000,1.37371000,1.37374000
2025-09-01T04:20:00Z,1.37366000,1.37370000,1.37356000,1.37366000,192,True,1.37357000,1.37362000,1.37348000,1.37356000,1.37375000,1.37379000,1.37364000,1.37376000
2025-09-01T04:25:00Z,1.37366000,1.37380000,1.37361000,1.37378000,193,True,1.37356000,1.37371000,1.37353000,1.37369000,1.37375000,1.37389000,1.37369000,1.37386000
2025-09-01T04:30:00Z,1.37380000,1.37399000,1.37380000,1.37399000,176,True,1.37371000,1.37389000,1.37371000,1.37389000,1.37389000,1.37409000,1.37389000,1.37409000
2025-09-01T04:35:00Z,1.37398000,1.37398000,1.37381000,1.37386000,140,True,1.37388000,1.37389000,1.37372000,1.37376000,1.37407000,1.37409000,1.37390000,1.37395000
2025-09-01T04:40:00Z,1.37386000,1.37388000,1.37374000,1.37376000,98,True,1.37376000,1.37379000,1.37365000,1.37366000,1.37397000,1.37399000,1.37384000,1.37386000
2025-09-01T04:45:00Z,1.37378000,1.37378000,1.37368000,1.37372000,137,True,1.37367000,1.37369000,1.37358000,1.37362000,1.37389000,1.37389000,1.37377000,1.37381000
2025-09-01T04:50:00Z,1.37371000,1.37386000,1.37370000,1.37384000,156,True,1.37361000,1.37375000,1.37361000,1.37374000,1.37381000,1.37396000,1.37380000,1.37395000
2025-09-01T04:55:00Z,1.37384000,1.37387000,1.37381000,1.37386000,75,True,1.37374000,1.37377000,1.37371000,1.37375000,1.37393000,1.37397000,1.37391000,1.37396000
2025-09-01T05:00:00Z,1.37385000,1.37388000,1.37372000,1.37376000,138,True,1.37375000,1.37378000,1.37364000,1.37366000,1.37395000,1.37399000,1.37381000,1.37385000
2025-09-01T05:05:00Z,1.37375000,1.37382000,1.37366000,1.37377000,167,True,1.37366000,1.37372000,1.37357000,1.37367000,1.37384000,1.37391000,1.37374000,1.37387000
2025-09-01T05:10:00Z,1.37378000,1.37380000,1.37362000,1.37364000,142,True,1.37367000,1.37371000,1.37353000,1.37355000,1.37388000,1.37390000,1.37370000,1.37373000
2025-09-01T05:15:00Z,1.37364000,1.37364000,1.37356000,1.37362000,145,True,1.37354000,1.37356000,1.37347000,1.37353000,1.37373000,1.37373000,1.37364000,1.37372000
2025-09-01T05:20:00Z,1.37362000,1.37384000,1.37360000,1.37374000,268,True,1.37352000,1.37374000,1.37350000,1.37365000,1.37373000,1.37394000,1.37370000,1.37383000
2025-09-01T05:25:00Z,1.37375000,1.37376000,1.37364000,1.37370000,168,True,1.37365000,1.37366000,1.37354000,1.37360000,1.37385000,1.37386000,1.37373000,1.37379000
2025-09-01T05:30:00Z,1.37370000,1.37378000,1.37360000,1.37360000,175,True,1.37361000,1.37369000,1.37350000,1.37351000,1.37379000,1.37389000,1.37368000,1.37369000
2025-09-01T05:35:00Z,1.37358000,1.37358000,1.37342000,1.37342000,237,True,1.37349000,1.37349000,1.37333000,1.37333000,1.37367000,1.37367000,1.37350000,1.37352000
2025-09-01T05:40:00Z,1.37342000,1.37365000,1.37342000,1.37362000,226,True,1.37333000,1.37355000,1.37333000,1.37353000,1.37351000,1.37375000,1.37351000,1.37371000
2025-09-01T05:45:00Z,1.37361000,1.37368000,1.37358000,1.37366000,245,True,1.37351000,1.37359000,1.37348000,1.37356000,1.37371000,1.37378000,1.37368000,1.37375000
2025-09-01T05:50:00Z,1.37366000,1.37375000,1.37362000,1.37369000,251,True,1.37357000,1.37365000,1.37353000,1.37359000,1.37375000,1.37385000,1.37370000,1.37379000
2025-09-01T05:55:00Z,1.37369000,1.37380000,1.37362000,1.37376000,162,True,1.37360000,1.37370000,1.37353000,1.37365000,1.37378000,1.37390000,1.37371000,1.37386000
2025-09-01T06:00:00Z,1.37376000,1.37391000,1.37372000,1.37382000,414,True,1.37366000,1.37381000,1.37364000,1.37372000,1.37386000,1.37401000,1.37380000,1.37393000
2025-09-01T06:05:00Z,1.37382000,1.37420000,1.37378000,1.37416000,918,True,1.37372000,1.37410000,1.37368000,1.37407000,1.37391000,1.37431000,1.37387000,1.37424000
2025-09-01T06:10:00Z,1.37416000,1.37438000,1.37409000,1.37436000,405,True,1.37407000,1.37429000,1.37400000,1.37428000,1.37425000,1.37448000,1.37418000,1.37444000
2025-09-01T06:15:00Z,1.37433000,1.37460000,1.37424000,1.37460000,580,True,1.37424000,1.37451000,1.37414000,1.37451000,1.37442000,1.37470000,1.37433000,1.37470000
2025-09-01T06:20:00Z,1.37460000,1.37476000,1.37458000,1.37465000,269,True,1.37451000,1.37466000,1.37450000,1.37456000,1.37469000,1.37485000,1.37467000,1.37474000
2025-09-01T06:25:00Z,1.37467000,1.37470000,1.37443000,1.37446000,254,True,1.37458000,1.37460000,1.37434000,1.37437000,1.37476000,1.37479000,1.37452000,1.37456000
2025-09-01T06:30:00Z,1.37446000,1.37446000,1.37415000,1.37428000,296,True,1.37436000,1.37437000,1.37405000,1.37419000,1.37456000,1.37456000,1.37425000,1.37437000
2025-09-01T06:35:00Z,1.37428000,1.37438000,1.37416000,1.37421000,561,True,1.37420000,1.37430000,1.37408000,1.37412000,1.37437000,1.37447000,1.37424000,1.37430000
2025-09-01T06:40:00Z,1.37422000,1.37446000,1.37416000,1.37436000,359,True,1.37412000,1.37437000,1.37408000,1.37426000,1.37432000,1.37457000,1.37425000,1.37446000
2025-09-01T06:45:00Z,1.37436000,1.37451000,1.37430000,1.37449000,390,True,1.37427000,1.37441000,1.37421000,1.37439000,1.37446000,1.37461000,1.37439000,1.37459000
2025-09-01T06:50:00Z,1.37452000,1.37498000,1.37452000,1.37478000,406,True,1.37443000,1.37488000,1.37443000,1.37469000,1.37461000,1.37508000,1.37461000,1.37488000
2025-09-01T06:55:00Z,1.37479000,1.37482000,1.37469000,1.37480000,329,True,1.37470000,1.37472000,1.37460000,1.37471000,1.37488000,1.37492000,1.37478000,1.37489000
2025-09-01T07:00:00Z,1.37480000,1.37500000,1.37470000,1.37488000,513,True,1.37471000,1.37491000,1.37460000,1.37479000,1.37490000,1.37510000,1.37479000,1.37497000
2025-09-01T07:05:00Z,1.37488000,1.37512000,1.37475000,1.37506000,426,True,1.37480000,1.37503000,1.37465000,1.37496000,1.37497000,1.37522000,1.37485000,1.37515000
2025-09-01T07:10:00Z,1.37505000,1.37527000,1.37498000,1.37515000,332,True,1.37496000,1.37519000,1.37489000,1.37506000,1.37514000,1.37535000,1.37507000,1.37524000
2025-09-01T07:15:00Z,1.37514000,1.37526000,1.37496000,1.37510000,474,True,1.37506000,1.37517000,1.37485000,1.37500000,1.37523000,1.37536000,1.37506000,1.37520000
2025-09-01T07:20:00Z,1.37510000,1.37510000,1.37485000,1.37496000,709,True,1.37500000,1.37500000,1.37475000,1.37487000,1.37521000,1.37521000,1.37495000,1.37505000
2025-09-01T07:25:00Z,1.37496000,1.37514000,1.37486000,1.37486000,217,True,1.37488000,1.37505000,1.37476000,1.37477000,1.37505000,1.37524000,1.37495000,1.37495000
