time,open,high,low,close,volume,complete,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-09-01T00:00:00Z,1.35033000,1.35056000,1.35024000,1.35055000,728,True,1.35023000,1.35046000,1.35014000,1.35046000,1.35043000,1.35066000,1.35035000,1.35064000
2025-09-01T00:05:00Z,1.35054000,1.35075000,1.35054000,1.35074000,496,True,1.35045000,1.35065000,1.35045000,1.35063000,1.35064000,1.35085000,1.35062000,1.35084000
2025-09-01T00:10:00Z,1.35073000,1.35094000,1.35062000,1.35086000,566,True,1.35063000,1.35084000,1.35053000,1.35076000,1.35083000,1.35103000,1.35072000,1.35095000
2025-09-01T00:15:00Z,1.35085000,1.35114000,1.35080000,1.35112000,527,True,1.35076000,1.35104000,1.35072000,1.35102000,1.35094000,1.35124000,1.35089000,1.35121000
2025-09-01T00:20:00Z,1.35110000,1.35112000,1.35087000,1.35104000,458,True,1.35101000,1.35102000,1.35077000,1.35094000,1.35119000,1.35123000,1.35097000,1.35113000
2025-09-01T00:25:00Z,1.35105000,1.35114000,1.35094000,1.35112000,586,True,1.35095000,1.35104000,1.35084000,1.35104000,1.35115000,1.35123000,1.35103000,1.35121000
2025-09-01T00:30:00Z,1.35113000,1.35144000,1.35104000,1.35142000,480,True,1.35103000,1.35135000,1.35093000,1.35134000,1.35123000,1.35154000,1.35114000,1.35151000
2025-09-01T00:35:00Z,1.35143000,1.35176000,1.35140000,1.35174000,504,True,1.35134000,1.35165000,1.35131000,1.35164000,1.35152000,1.35187000,1.35149000,1.35185000
2025-09-01T00:40:00Z,1.35174000,1.35177000,1.35157000,1.35168000,444,True,1.35164000,1.35168000,1.35147000,1.35158000,1.35184000,1.35186000,1.35166000,1.35179000
2025-09-01T00:45:00Z,1.35168000,1.35184000,1.35167000,1.35181000,335,True,1.35158000,1.35174000,1.35157000,1.35170000,1.35178000,1.35193000,1.35177000,1.35192000
2025-09-01T00:50:00Z,1.35182000,1.35187000,1.35170000,1.35180000,479,True,1.35171000,1.35177000,1.35161000,1.35170000,1.35192000,1.35197000,1.35180000,1.35190000
2025-09-01T00:55:00Z,1.35180000,1.35195000,1.35171000,1.35184000,445,True,1.35170000,1.35186000,1.35161000,1.35174000,1.35189000,1.35205000,1.35181000,1.35195000
2025-09-01T01:00:00Z,1.35185000,1.35194000,1.35174000,1.35180000,478,True,1.35175000,1.35184000,1.35164000,1.35170000,1.35195000,1.35205000,1.35185000,1.35191000
2025-09-01T01:05:00Z,1.35181000,1.35184000,1.35134000,1.35136000,583,True,1.35170000,1.35173000,1.35124000,1.35126000,1.35192000,1.35194000,1.35143000,1.35147000
2025-09-01T01:10:00Z,1.35135000,1.35136000,1.35106000,1.35123000,430,True,1.35126000,1.35126000,1.35096000,1.35113000,1.35144000,1.35146000,1.35115000,1.35133000
2025-09-01T01:15:00Z,1.35124000,1.35126000,1.35088000,1.35112000,894,True,1.35113000,1.35117000,1.35077000,1.35103000,1.35134000,1.35137000,1.35098000,1.35121000
2025-09-01T01:20:00Z,1.35112000,1.35114000,1.35086000,1.35100000,761,True,1.35103000,1.35105000,1.35076000,1.35091000,1.35122000,1.35122000,1.35095000,1.35110000
2025-09-01T01:25:00Z,1.35100000,1.35111000,1.35091000,1.35094000,670,True,1.35090000,1.35103000,1.35081000,1.35086000,1.35110000,1.35119000,1.35101000,1.35103000
2025-09-01T01:30:00Z,1.35094000,1.35094000,1.35072000,1.35084000,676,True,1.35084000,1.35084000,1.35062000,1.35074000,1.35103000,1.35103000,1.35081000,1.35094000
2025-09-01T01:35:00Z,1.35084000,1.35086000,1.35054000,1.35073000,987,True,1.35074000,1.35077000,1.35043000,1.35065000,1.35095000,1.35095000,1.35065000,1.35081000
2025-09-01T01:40:00Z,1.35074000,1.35088000,1.35070000,1.35080000,1022,True,1.35066000,1.35079000,1.35060000,1.35069000,1.35081000,1.35096000,1.35078000,1.35090000
2025-09-01T01:45:00Z,1.35080000,1.35142000,1.35076000,1.35136000,854,True,1.35069000,1.35131000,1.35066000,1.35126000,1.35091000,1.35154000,1.35087000,1.35145000
2025-09-01T01:50:00Z,1.35136000,1.35141000,1.35104000,1.35105000,845,True,1.35125000,1.35131000,1.35093000,1.35095000,1.35146000,1.35152000,1.35114000,1.35115000
2025-09-01T01:55:00Z,1.35105000,1.35126000,1.35100000,1.35122000,639,True,1.35094000,1.35115000,1.35090000,1.35113000,1.35116000,1.35136000,1.35109000,1.35132000
2025-09-01T02:00:00Z,1.35124000,1.35156000,1.35123000,1.35152000,536,True,1.35113000,1.35146000,1.35113000,1.35143000,1.35134000,1.35166000,1.35133000,1.35162000
2025-09-01T02:05:00Z,1.35155000,1.35206000,1.35148000,1.35199000,839,True,1.35146000,1.35197000,1.35140000,1.35189000,1.35164000,1.35216000,1.35157000,1.35209000
